date_scraped,page_number,product_url,image,current_price,title,brand,original_price,discount,verified_ratings,rating_number,seller,main_category
2025-10-05,1,https://www.jumia.co.ke/lyons-fk-0323-stainless-steel-1.8l-electric-kettle-black-305727500.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/5727503/1.jpg?5060,KSh 499,Lyons FK-0323 Stainless Steel 1.8L Electric Kettle-Black,Privacy and Cookie notice,KSh 999,50%,(910 verified ratings),4 out of 5,HILALIUM & SONS(UR HOME) LIMITED,Home
2025-10-05,1,https://www.jumia.co.ke/lyons-an-2001k-high-quality-electric-dry-iron-box-with-non-stick-sole-plate-1000w-blue1yr-wrty-314435077.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/0534413/1.jpg?1072,KSh 679,Lyons AN-2001K High Quality Electric Dry Iron Box with Non-stick sole plate   - 1000W Blue(1YR WRTY),Privacy and Cookie notice,KSh 999,32%,(602 verified ratings),4 out of 5,HILALIUM & SONS(UR HOME) LIMITED,Home
2025-10-05,1,https://www.jumia.co.ke/oking-ok310-1.7-wireless-fm-bright-torch-1000mah-tri-sim-2g-black-1yr-wrty-306394856.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/8493603/1.jpg?0396,KSh 719,"Oking OK310 1.7"" Wireless FM, Bright Torch, 1000mAh, Tri SIM, 2G - Black  (1YR WRTY)",Privacy and Cookie notice,"KSh 1,200",40%,(694 verified ratings),3.9 out of 5,ITEL MOBILE SHOP-SUNMUM TECH LTD - AC,Home
2025-10-05,1,https://www.jumia.co.ke/richripple-m10-led-display-bluetooth-headsets-9d-stereo-wireless-earphones-earpods-179381044.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/0183971/1.jpg?4067,KSh 398,RichRipple M10 LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,Privacy and Cookie notice,KSh 863,54%,(4288 verified ratings),3.6 out of 5,RichRipple OfficialStore-SEA-COD,Home
2025-10-05,1,https://www.jumia.co.ke/em-electromate-water-dispenser-with-hot-and-normal-white-water-dispenser-wd01-279130723.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/7031972/1.jpg?7932,"KSh 2,399",Em ElectroMate Water Dispenser with Hot and Normal White Water Dispenser WD01,Privacy and Cookie notice,"KSh 5,199",54%,(779 verified ratings),3.9 out of 5,ElectroMate Home Appliances,Home
2025-10-05,1,https://www.jumia.co.ke/vitron-htc4388fs-43-smart-android-frameless-tv-black-1yr-wrty-93348943.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/984339/1.jpg?4670,"KSh 16,999","Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",Privacy and Cookie notice,"KSh 28,599",41%,(3784 verified ratings),4 out of 5,Vitron Official Store - AC,Home
2025-10-05,1,https://www.jumia.co.ke/nivea-uv-face-shine-control-cream-spf-50-50ml-67957548.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/575976/1.jpg?3693,KSh 889,NIVEA UV Face Shine Control Cream SPF 50 - 50ml,Privacy and Cookie notice,"KSh 1,300",32%,(7410 verified ratings),4.3 out of 5,Jumia,Home
2025-10-05,1,https://www.jumia.co.ke/fashion-mens-sneakers-shoes-sports-shoes-breathable-running-shoes-169380939.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/9083961/1.jpg?6526,KSh 999,Mens Sneakers Shoes Sports Shoes Breathable Running Shoes,Privacy and Cookie notice,"KSh 1,800 - KSh 2,000",50%,(873 verified ratings),3.9 out of 5,Waanzilish,Home
2025-10-05,1,https://www.jumia.co.ke/ailyons-afk-111-water-dispenser-hot-and-normal-with-storage-cabinet-1yr-wrty-118096692.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/6690811/1.jpg?6558,"KSh 2,429",AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),Privacy and Cookie notice,"KSh 4,999",51%,(2188 verified ratings),3.9 out of 5,UR-HOME(KENYA),Home
2025-10-05,1,https://www.jumia.co.ke/fuxing-fashion-women-breathable-and-non-slip-sneakers-ladies-shoes-women.-73766177.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/166737/1.jpg?9727,KSh 375,FUXING FASHION Women Breathable And Non Slip Sneakers Ladies Shoes Women.,Privacy and Cookie notice,KSh 501 - KSh 836,55%,(136 verified ratings),3.1 out of 5,Fuxing - SEA - COD,Home
2025-10-05,1,https://www.jumia.co.ke/gueeton-stereo-f9-bluetooth-earphone-power-headset-35221857.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/812253/1.jpg?0667,KSh 434,GUEETON Stereo F9 Bluetooth Earphone  Power Headset,Privacy and Cookie notice,KSh 701,38%,(2921 verified ratings),3.7 out of 5,GUEETON-COD,Home
2025-10-05,1,https://www.jumia.co.ke/lyons-lys2403-2.1ch-multimedia-speaker-system-home-theatrer-subwoofer-with-bt1yr-wrty-305727607.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/6727503/1.jpg?9799,"KSh 2,599",Lyons LYS2403 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY),Privacy and Cookie notice,"KSh 3,799",32%,(357 verified ratings),3.8 out of 5,HILALIUM & SONS(UR HOME) LIMITED,Home
2025-10-05,1,https://www.jumia.co.ke/richripple-pro3-bluetooth-headsets-wireless-pods-pro-earpods-earphones-169423000.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/0324961/1.jpg?5436,KSh 397,RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,Privacy and Cookie notice,KSh 756,48%,(2942 verified ratings),3.7 out of 5,RichRipple OfficialStore-SEA-COD,Home
